Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9906,1.0
1,0.9604,0.9366,0.9755
2,0.75,0.7056,0.7897
3,0.5,0.4515,0.5485
4,0.5,0.4515,0.5485
5,0.5,0.4515,0.5485
6,0.5,0.4515,0.5485
7,0.495,0.4466,0.5436
8,0.4777,0.4295,0.5264
9,0.448,0.4002,0.4968
10,0.3193,0.2757,0.3663
11,0.2228,0.1849,0.2659
12,0.2153,0.178,0.258
13,0.2153,0.178,0.258
14,0.2153,0.178,0.258
15,0.2153,0.178,0.258
16,0.2129,0.1758,0.2554
17,0.2005,0.1644,0.2423
18,0.198,0.1621,0.2396
19,0.1807,0.1462,0.2212
20,0.1807,0.1462,0.2212
21,0.1658,0.1328,0.2052
22,0.1535,0.1216,0.1919
23,0.1436,0.1127,0.1811
24,0.1262,0.0973,0.1622
25,0.1163,0.0886,0.1513
26,0.104,0.0778,0.1375
27,0.1015,0.0757,0.1348
28,0.0941,0.0693,0.1265
29,0.0941,0.0693,0.1265
30,0.0817,0.0588,0.1125
