Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.25,0.0,1.0
5,0.5227272727272727,0.0,2.0
6,1.0227272727272727,0.0,3.0
7,1.5227272727272727,0.0,4.0
8,2.022727272727273,0.0,5.0
9,2.659090909090909,0.0,6.0
10,3.3181818181818183,0.0,7.0
11,4.0227272727272725,0.0,8.0
12,4.7272727272727275,0.0,9.0
13,5.431818181818182,0.0,10.0
14,6.181818181818182,0.0,11.0
15,7.0,0.0,12.0
16,7.954545454545454,0.07499999999999996,13.0
17,8.954545454545455,1.075,14.0
18,9.954545454545455,2.075,15.0
19,10.954545454545455,3.075,16.0
20,11.954545454545455,4.075,17.0
21,12.954545454545455,5.075,18.0
22,13.954545454545455,6.075,19.0
23,14.954545454545455,7.075,20.0
24,15.954545454545455,8.075,21.0
25,16.954545454545453,9.075,22.0
26,17.954545454545453,10.075,23.0
27,18.954545454545453,11.075,24.0
28,19.954545454545453,12.075,25.0
29,20.954545454545453,13.075,26.0
30,21.954545454545453,14.075,27.0
