Day of isolation,Mean,Lower_CI,Upper_CI
0,5.136363636363637,0.0,11.0
1,4.386363636363637,0.0,10.0
2,3.6363636363636362,0.0,9.0
3,2.8863636363636362,0.0,8.0
4,2.1363636363636362,0.0,7.0
5,1.5227272727272727,0.0,6.0
6,1.25,0.0,5.0
7,1.0,0.0,4.0
8,0.75,0.0,3.0
9,0.5,0.0,2.0
10,0.25,0.0,1.0
11,0.022727272727272728,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
