Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9906,1.0
1,1.0,0.9906,1.0
2,0.9802,0.9614,0.9899
3,0.5223,0.4736,0.5705
4,0.5,0.4515,0.5485
5,0.5,0.4515,0.5485
6,0.5,0.4515,0.5485
7,0.5,0.4515,0.5485
8,0.5,0.4515,0.5485
9,0.5,0.4515,0.5485
10,0.5,0.4515,0.5485
11,0.4505,0.4027,0.4993
12,0.349,0.3041,0.3967
13,0.2698,0.2288,0.3151
14,0.2203,0.1826,0.2632
15,0.2153,0.178,0.258
16,0.2153,0.178,0.258
17,0.2153,0.178,0.258
18,0.2153,0.178,0.258
19,0.2153,0.178,0.258
20,0.2153,0.178,0.258
21,0.2153,0.178,0.258
22,0.2153,0.178,0.258
23,0.2129,0.1758,0.2554
24,0.2129,0.1758,0.2554
25,0.203,0.1666,0.2449
26,0.2005,0.1644,0.2423
27,0.1832,0.1485,0.2238
28,0.1634,0.1305,0.2026
29,0.1559,0.1238,0.1945
30,0.1411,0.1105,0.1784
