Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9197,1.0
1,1.0,0.9197,1.0
2,1.0,0.9197,1.0
3,1.0,0.9197,1.0
4,0.75,0.6056,0.8543
5,0.7273,0.5815,0.8365
6,0.5,0.3583,0.6417
7,0.5,0.3583,0.6417
8,0.5,0.3583,0.6417
9,0.3636,0.2378,0.5113
10,0.3409,0.2188,0.4886
11,0.2955,0.1816,0.4422
12,0.2955,0.1816,0.4422
13,0.2955,0.1816,0.4422
14,0.2045,0.1115,0.345
15,0.1818,0.0951,0.3196
16,0.0455,0.0126,0.1513
17,0.0,0.0,0.0803
18,0.0,0.0,0.0803
19,0.0,0.0,0.0803
20,0.0,0.0,0.0803
21,0.0,0.0,0.0803
22,0.0,0.0,0.0803
23,0.0,0.0,0.0803
24,0.0,0.0,0.0803
25,0.0,0.0,0.0803
26,0.0,0.0,0.0803
27,0.0,0.0,0.0803
28,0.0,0.0,0.0803
29,0.0,0.0,0.0803
30,0.0,0.0,0.0803
