Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9197,1.0
1,1.0,0.9197,1.0
2,1.0,0.9197,1.0
3,0.9091,0.7884,0.9641
4,0.5,0.3583,0.6417
5,0.5,0.3583,0.6417
6,0.5,0.3583,0.6417
7,0.5,0.3583,0.6417
8,0.5,0.3583,0.6417
9,0.5,0.3583,0.6417
10,0.4318,0.2968,0.5778
11,0.3409,0.2188,0.4886
12,0.3409,0.2188,0.4886
13,0.2955,0.1816,0.4422
14,0.25,0.1457,0.3944
15,0.2273,0.1284,0.3699
16,0.0909,0.0359,0.2116
17,0.0455,0.0126,0.1513
18,0.0,0.0,0.0803
19,0.0,0.0,0.0803
20,0.0,0.0,0.0803
21,0.0,0.0,0.0803
22,0.0,0.0,0.0803
23,0.0,0.0,0.0803
24,0.0,0.0,0.0803
25,0.0,0.0,0.0803
26,0.0,0.0,0.0803
27,0.0,0.0,0.0803
28,0.0,0.0,0.0803
29,0.0,0.0,0.0803
30,0.0,0.0,0.0803
