Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9906,1.0
1,1.0,0.9906,1.0
2,0.8069,0.7656,0.8425
3,0.7475,0.703,0.7874
4,0.7005,0.6541,0.7431
5,0.646,0.5982,0.6911
6,0.6188,0.5705,0.6648
7,0.5569,0.5082,0.6046
8,0.5099,0.4613,0.5583
9,0.5,0.4515,0.5485
10,0.4926,0.4441,0.5412
11,0.4777,0.4295,0.5264
12,0.4406,0.393,0.4893
13,0.4332,0.3857,0.4819
14,0.4035,0.3568,0.452
15,0.354,0.3089,0.4018
16,0.3045,0.2616,0.351
17,0.2772,0.2358,0.3228
18,0.2376,0.1987,0.2815
19,0.2252,0.1872,0.2685
20,0.198,0.1621,0.2396
21,0.1856,0.1508,0.2265
22,0.1436,0.1127,0.1811
23,0.1386,0.1083,0.1757
24,0.1337,0.1039,0.1703
25,0.1337,0.1039,0.1703
26,0.1163,0.0886,0.1513
27,0.0916,0.0672,0.1237
28,0.0891,0.0651,0.1209
29,0.0866,0.063,0.1181
30,0.0866,0.063,0.1181
