Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9906,1.0
1,1.0,0.9906,1.0
2,0.8069,0.7656,0.8425
3,0.7475,0.703,0.7874
4,0.7005,0.6541,0.7431
5,0.646,0.5982,0.6911
6,0.6287,0.5806,0.6744
7,0.5965,0.548,0.6432
8,0.5322,0.4834,0.5803
9,0.5099,0.4613,0.5583
10,0.5,0.4515,0.5485
11,0.4802,0.4319,0.5289
12,0.4505,0.4027,0.4993
13,0.4332,0.3857,0.4819
14,0.4035,0.3568,0.452
15,0.3564,0.3113,0.4043
16,0.3094,0.2663,0.3561
17,0.2797,0.2382,0.3254
18,0.245,0.2056,0.2893
19,0.2252,0.1872,0.2685
20,0.198,0.1621,0.2396
21,0.1832,0.1485,0.2238
22,0.1436,0.1127,0.1811
23,0.1386,0.1083,0.1757
24,0.1337,0.1039,0.1703
25,0.1337,0.1039,0.1703
26,0.1163,0.0886,0.1513
27,0.0916,0.0672,0.1237
28,0.0866,0.063,0.1181
29,0.0866,0.063,0.1181
30,0.0866,0.063,0.1181
