Day of isolation,Mean,Lower_CI,Upper_CI
0,5.909090909090909,2.0,12.0
1,4.909090909090909,1.0,11.0
2,3.909090909090909,0.0,10.0
3,3.159090909090909,0.0,9.0
4,2.6136363636363638,0.0,8.0
5,2.1136363636363638,0.0,7.0
6,1.6818181818181819,0.0,6.0
7,1.3409090909090908,0.0,5.0
8,1.0454545454545454,0.0,4.0
9,0.75,0.0,3.0
10,0.45454545454545453,0.0,2.0
11,0.18181818181818182,0.0,1.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
