Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.25,0.0,1.0
4,0.5,0.0,2.0
5,0.7954545454545454,0.0,3.0
6,1.3863636363636365,0.0,4.0
7,2.2045454545454546,0.0,5.0
8,3.2045454545454546,1.0,6.0
9,4.204545454545454,2.0,7.0
10,5.204545454545454,3.0,8.0
11,6.204545454545454,4.0,9.0
12,7.204545454545454,5.0,10.0
13,8.204545454545455,6.0,11.0
14,9.204545454545455,7.0,12.0
15,10.204545454545455,8.0,13.0
16,11.204545454545455,9.0,14.0
17,12.204545454545455,10.0,15.0
18,13.204545454545455,11.0,16.0
19,14.204545454545455,12.0,17.0
20,15.204545454545455,13.0,18.0
21,16.204545454545453,14.0,19.0
22,17.204545454545453,15.0,20.0
23,18.204545454545453,16.0,21.0
24,19.204545454545453,17.0,22.0
25,20.204545454545453,18.0,23.0
26,21.204545454545453,19.0,24.0
27,22.204545454545453,20.0,25.0
28,23.204545454545453,21.0,26.0
29,24.204545454545453,22.0,27.0
30,25.204545454545453,23.0,28.0
