Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.1590909090909091,0.0,1.0
2,0.4090909090909091,0.0,2.0
3,0.9090909090909091,0.0,3.0
4,1.4090909090909092,0.0,4.0
5,1.9090909090909092,0.0,5.0
6,2.4318181818181817,0.0,6.0
7,3.0681818181818183,0.0,7.0
8,3.7954545454545454,0.0,8.0
9,4.545454545454546,0.0,9.0
10,5.295454545454546,0.0,10.0
11,6.045454545454546,0.0,11.0
12,6.795454545454546,0.0,12.0
13,7.545454545454546,0.0,13.0
14,8.295454545454545,0.0,14.0
15,9.045454545454545,0.0,15.0
16,9.795454545454545,0.0,16.0
17,10.545454545454545,0.0,17.0
18,11.295454545454545,0.0,18.0
19,12.045454545454545,0.0,19.0
20,12.795454545454545,0.0,20.0
21,13.545454545454545,0.0,21.0
22,14.295454545454545,0.0,22.0
23,15.045454545454545,0.0,23.0
24,15.795454545454545,0.0,24.0
25,16.545454545454547,0.0,25.0
26,17.295454545454547,0.0,26.0
27,18.045454545454547,0.0,27.0
28,18.795454545454547,0.0,28.0
29,19.545454545454547,0.0,29.0
30,20.295454545454547,0.0,30.0
